P_ID,Flow,Word count,NAs
91,None,2,1

92,0.839926943845,2,0

93,0.964006934115,2,0

94,0.688375612724,2,0

95,0.868528563579,2,0

96,0.660136628966,2,0

97,0.546839761894,2,0

98,0.706814159526,2,0

99,0.922487275353,2,0

100,0.886755412679,2,0

101,0.921699415709,2,0

102,0.898101633506,2,0

103,None,2,1

104,None,2,1

105,0.661499432962,2,0

106,0.677151533699,2,0

107,0.871046057603,2,0

108,0.82214686743,2,0

109,0.839181722919,2,0

110,0.650755889731,2,0

111,0.943943503694,2,0

112,0.470977691453,2,0

113,0.654305434428,2,0

114,0.701544145703,2,0

115,0.824298228915,2,0

116,0.448386153337,2,0

117,None,2,1

118,None,2,1

119,0.974333300932,2,0

120,0.829995416923,2,0

121,0.729203422181,2,0

122,0.457008821235,2,0

123,0.924895154429,2,0

124,0.886212051879,2,0

125,0.915603543192,2,0

126,0.676544701958,2,0

127,0.719696500074,2,0

128,0.879181107467,2,0

129,0.890053852165,2,0

130,0.909670582325,2,0

131,0.925193373109,2,0

132,0.970301112037,2,0

133,None,2,1

134,None,2,1

135,0.919765707331,2,0

136,0.857655099975,2,0

137,0.973837494747,2,0

138,0.934035502301,2,0

139,0.865088828078,2,0

140,0.947395197067,2,0

141,0.865304126037,2,0

142,0.933936480948,2,0

143,0.776468689767,2,0

144,0.956834466758,2,0

145,0.91136455712,2,0

146,0.808960490414,2,0

147,None,2,1

148,None,2,1

149,1.009643258,2,0

150,0.953777087686,2,0

151,0.939554796725,2,0

152,0.781949977506,2,0

153,None,2,1

154,None,2,1

155,0.655067988685,2,0

156,0.301528244871,2,0

157,0.445498897758,2,0

158,0.556317518993,2,0

159,0.825350265971,2,0

160,0.874294824907,2,0

161,1.01374666576,2,0

162,0.834973781987,2,0

163,0.688607035803,2,0

164,0.680640223545,2,0

165,0.474837257578,2,0

166,0.702537534964,2,0

167,0.63309072021,2,0

168,0.923830439206,2,0

169,0.906625620265,2,0

170,0.881564405668,2,0

171,0.734445379129,2,0

172,0.836143595824,2,0

173,0.864007148134,2,0

174,0.950137223359,2,0

175,0.94821887959,2,0

176,0.911142970898,2,0

177,0.734445379129,2,0

178,0.92601022429,2,0

179,0.95262766157,2,0

180,0.988889263983,2,0

181,0.970690548295,2,0

182,0.88718186402,2,0

183,0.719854018563,2,0

184,0.91893646796,2,0

185,0.792890270366,2,0

186,0.859799087469,2,0

187,0.952982513744,2,0

188,0.891671906858,2,0

189,0.83532506594,2,0

190,0.927955799872,2,0

191,0.991207004346,2,0

192,0.921580359186,2,0

193,0.756715903077,2,0

194,0.770506411241,2,0

195,0.733792907245,2,0

196,0.423741065373,2,0

197,0.869423328343,2,0

198,0.799668014809,2,0

199,0.652278082278,2,0

200,0.865548879645,2,0

201,0.849840411082,2,0

202,1.07621666185,2,0

203,0.868211880096,2,0

204,0.671204866036,2,0

205,0.74836474731,2,0

206,0.358046056803,2,0

207,None,2,1

208,None,2,1

209,1.01178313159,2,0

210,0.834989296632,2,0

211,0.972953578795,2,0

212,0.990686138205,2,0

213,0.933466931239,2,0

214,0.732096672263,2,0

215,0.798752121038,2,0

216,0.82920828641,2,0

217,0.67422504925,2,0

218,0.81803017889,2,0

219,0.781759828607,2,0

