"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"19756.7" "The Great Stone Face" "The Flirt" "Hawthorne, Nathaniel" "Tarkington, Booth" 6.31040381642946 2000 2000 197558
"19756.8" "The Great Stone Face" "The Flirt" "Hawthorne, Nathaniel" "Tarkington, Booth" 6.24007338784297 2000 2000 197559
"19756.9" "The Great Stone Face" "The Flirt" "Hawthorne, Nathaniel" "Tarkington, Booth" 6.39797057886391 2000 2000 197560
"19757" "The Great Stone Face" "Carnac" "Hawthorne, Nathaniel" "Parker, Gilbert" 6.16908594114549 2000 2000 197561
"19757.1" "The Great Stone Face" "Carnac" "Hawthorne, Nathaniel" "Parker, Gilbert" 6.15037162927256 2000 2000 197562
"19757.2" "The Great Stone Face" "Carnac" "Hawthorne, Nathaniel" "Parker, Gilbert" 6.17678267924266 2000 2000 197563
"19757.3" "The Great Stone Face" "Carnac" "Hawthorne, Nathaniel" "Parker, Gilbert" 6.27149997573515 2000 2000 197564
"19757.4" "The Great Stone Face" "Carnac" "Hawthorne, Nathaniel" "Parker, Gilbert" 6.08608778866782 2000 2000 197565
"19757.5" "The Great Stone Face" "Carnac" "Hawthorne, Nathaniel" "Parker, Gilbert" 6.23948393550779 2000 2000 197566
"19757.6" "The Great Stone Face" "Carnac" "Hawthorne, Nathaniel" "Parker, Gilbert" 6.43625307378704 2000 2000 197567
"19757.7" "The Great Stone Face" "Carnac" "Hawthorne, Nathaniel" "Parker, Gilbert" 5.94078488920813 2000 2000 197568
"19757.8" "The Great Stone Face" "Carnac" "Hawthorne, Nathaniel" "Parker, Gilbert" 6.16525208510485 2000 2000 197569
"19757.9" "The Great Stone Face" "Carnac" "Hawthorne, Nathaniel" "Parker, Gilbert" 6.14783396617356 2000 2000 197570
"19758" "The Great Stone Face" "Phemie Frost" "Hawthorne, Nathaniel" "Stephens, Ann S. (Ann Sophia)" 6.33531154515707 2000 2000 197571
"19758.1" "The Great Stone Face" "Phemie Frost" "Hawthorne, Nathaniel" "Stephens, Ann S. (Ann Sophia)" 6.37260634028754 2000 2000 197572
"19758.2" "The Great Stone Face" "Phemie Frost" "Hawthorne, Nathaniel" "Stephens, Ann S. (Ann Sophia)" 6.36399339167135 2000 2000 197573
"19758.3" "The Great Stone Face" "Phemie Frost" "Hawthorne, Nathaniel" "Stephens, Ann S. (Ann Sophia)" 6.30273662258141 2000 2000 197574
"19758.4" "The Great Stone Face" "Phemie Frost" "Hawthorne, Nathaniel" "Stephens, Ann S. (Ann Sophia)" 6.24214599629313 2000 2000 197575
"19758.5" "The Great Stone Face" "Phemie Frost" "Hawthorne, Nathaniel" "Stephens, Ann S. (Ann Sophia)" 6.02702965744758 2000 2000 197576
"19758.6" "The Great Stone Face" "Phemie Frost" "Hawthorne, Nathaniel" "Stephens, Ann S. (Ann Sophia)" 6.36687338500984 2000 2000 197577
"19758.7" "The Great Stone Face" "Phemie Frost" "Hawthorne, Nathaniel" "Stephens, Ann S. (Ann Sophia)" 6.27785536915478 2000 2000 197578
"19758.8" "The Great Stone Face" "Phemie Frost" "Hawthorne, Nathaniel" "Stephens, Ann S. (Ann Sophia)" 6.27414213381826 2000 2000 197579
"19758.9" "The Great Stone Face" "Phemie Frost" "Hawthorne, Nathaniel" "Stephens, Ann S. (Ann Sophia)" 6.40765726031569 2000 2000 197580
"19759" "The Great Stone Face" "The Clarion" "Hawthorne, Nathaniel" "Adams, Samuel Hopkins" 6.18196037425219 2000 2000 197581
"19759.1" "The Great Stone Face" "The Clarion" "Hawthorne, Nathaniel" "Adams, Samuel Hopkins" 6.28251994203204 2000 2000 197582
"19759.2" "The Great Stone Face" "The Clarion" "Hawthorne, Nathaniel" "Adams, Samuel Hopkins" 6.30447501260596 2000 2000 197583
"19759.3" "The Great Stone Face" "The Clarion" "Hawthorne, Nathaniel" "Adams, Samuel Hopkins" 6.22672564857567 2000 2000 197584
"19759.4" "The Great Stone Face" "The Clarion" "Hawthorne, Nathaniel" "Adams, Samuel Hopkins" 6.25639887398908 2000 2000 197585
"19759.5" "The Great Stone Face" "The Clarion" "Hawthorne, Nathaniel" "Adams, Samuel Hopkins" 6.2993506774805 2000 2000 197586
"19759.6" "The Great Stone Face" "The Clarion" "Hawthorne, Nathaniel" "Adams, Samuel Hopkins" 6.32978405736325 2000 2000 197587
"19759.7" "The Great Stone Face" "The Clarion" "Hawthorne, Nathaniel" "Adams, Samuel Hopkins" 6.23477501873463 2000 2000 197588
"19759.8" "The Great Stone Face" "The Clarion" "Hawthorne, Nathaniel" "Adams, Samuel Hopkins" 6.119809585068 2000 2000 197589
"19759.9" "The Great Stone Face" "The Clarion" "Hawthorne, Nathaniel" "Adams, Samuel Hopkins" 6.15551465521185 2000 2000 197590
"19760" "The Great Stone Face" "The Skipper and the Skipped" "Hawthorne, Nathaniel" "Day, Holman" 6.2913140901074 2000 2000 197591
"19760.1" "The Great Stone Face" "The Skipper and the Skipped" "Hawthorne, Nathaniel" "Day, Holman" 6.15331712165624 2000 2000 197592
"19760.2" "The Great Stone Face" "The Skipper and the Skipped" "Hawthorne, Nathaniel" "Day, Holman" 6.26625840876204 2000 2000 197593
"19760.3" "The Great Stone Face" "The Skipper and the Skipped" "Hawthorne, Nathaniel" "Day, Holman" 6.18221215888154 2000 2000 197594
"19760.4" "The Great Stone Face" "The Skipper and the Skipped" "Hawthorne, Nathaniel" "Day, Holman" 6.15466221828963 2000 2000 197595
"19760.5" "The Great Stone Face" "The Skipper and the Skipped" "Hawthorne, Nathaniel" "Day, Holman" 6.18194749420581 2000 2000 197596
"19760.6" "The Great Stone Face" "The Skipper and the Skipped" "Hawthorne, Nathaniel" "Day, Holman" 6.32118675039515 2000 2000 197597
"19760.7" "The Great Stone Face" "The Skipper and the Skipped" "Hawthorne, Nathaniel" "Day, Holman" 6.19846266027044 2000 2000 197598
"19760.8" "The Great Stone Face" "The Skipper and the Skipped" "Hawthorne, Nathaniel" "Day, Holman" 6.15669869598534 2000 2000 197599
"19760.9" "The Great Stone Face" "The Skipper and the Skipped" "Hawthorne, Nathaniel" "Day, Holman" 6.18505279621968 2000 2000 197600
"19761" "The Great Stone Face" "The Poniard" "Hawthorne, Nathaniel" "Sue, Eugène" 6.24784040349302 2000 2000 197601
"19761.1" "The Great Stone Face" "The Poniard" "Hawthorne, Nathaniel" "Sue, Eugène" 6.54301658688704 2000 2000 197602
"19761.2" "The Great Stone Face" "The Poniard" "Hawthorne, Nathaniel" "Sue, Eugène" 6.39286450700486 2000 2000 197603
"19761.3" "The Great Stone Face" "The Poniard" "Hawthorne, Nathaniel" "Sue, Eugène" 6.10320215941193 2000 2000 197604
"19761.4" "The Great Stone Face" "The Poniard" "Hawthorne, Nathaniel" "Sue, Eugène" 6.04336418529043 2000 2000 197605
"19761.5" "The Great Stone Face" "The Poniard" "Hawthorne, Nathaniel" "Sue, Eugène" 6.28865693243686 2000 2000 197606
"19761.6" "The Great Stone Face" "The Poniard" "Hawthorne, Nathaniel" "Sue, Eugène" 6.24488004517163 2000 2000 197607
"19761.7" "The Great Stone Face" "The Poniard" "Hawthorne, Nathaniel" "Sue, Eugène" 6.3789043432767 2000 2000 197608
"19761.8" "The Great Stone Face" "The Poniard" "Hawthorne, Nathaniel" "Sue, Eugène" 6.24745918609179 2000 2000 197609
"19761.9" "The Great Stone Face" "The Poniard" "Hawthorne, Nathaniel" "Sue, Eugène" 6.23010021247423 2000 2000 197610
"19762" "The Great Stone Face" "Checkers" "Hawthorne, Nathaniel" "Blossom, Henry" 6.41626569199406 2000 2000 197611
"19762.1" "The Great Stone Face" "Checkers" "Hawthorne, Nathaniel" "Blossom, Henry" 6.32065259281366 2000 2000 197612
"19762.2" "The Great Stone Face" "Checkers" "Hawthorne, Nathaniel" "Blossom, Henry" 6.27695291720584 2000 2000 197613
"19762.3" "The Great Stone Face" "Checkers" "Hawthorne, Nathaniel" "Blossom, Henry" 6.53001206881151 2000 2000 197614
"19762.4" "The Great Stone Face" "Checkers" "Hawthorne, Nathaniel" "Blossom, Henry" 6.30675801301364 2000 2000 197615
"19762.5" "The Great Stone Face" "Checkers" "Hawthorne, Nathaniel" "Blossom, Henry" 6.32380370701603 2000 2000 197616
"19762.6" "The Great Stone Face" "Checkers" "Hawthorne, Nathaniel" "Blossom, Henry" 6.24270220962819 2000 2000 197617
"19762.7" "The Great Stone Face" "Checkers" "Hawthorne, Nathaniel" "Blossom, Henry" 6.37066512921492 2000 2000 197618
"19762.8" "The Great Stone Face" "Checkers" "Hawthorne, Nathaniel" "Blossom, Henry" 6.16654780848732 2000 2000 197619
"19762.9" "The Great Stone Face" "Checkers" "Hawthorne, Nathaniel" "Blossom, Henry" 6.20420955255179 2000 2000 197620
"19763" "The Great Stone Face" "The Little Immigrant" "Hawthorne, Nathaniel" "Stern, Eva" 6.13947399637176 2000 2000 197621
"19763.1" "The Great Stone Face" "The Little Immigrant" "Hawthorne, Nathaniel" "Stern, Eva" 6.16332703870885 2000 2000 197622
"19763.2" "The Great Stone Face" "The Little Immigrant" "Hawthorne, Nathaniel" "Stern, Eva" 6.25204989087696 2000 2000 197623
"19763.3" "The Great Stone Face" "The Little Immigrant" "Hawthorne, Nathaniel" "Stern, Eva" 6.25591803615765 2000 2000 197624
"19763.4" "The Great Stone Face" "The Little Immigrant" "Hawthorne, Nathaniel" "Stern, Eva" 6.32446440953128 2000 2000 197625
"19763.5" "The Great Stone Face" "The Little Immigrant" "Hawthorne, Nathaniel" "Stern, Eva" 6.19817722420404 2000 2000 197626
"19763.6" "The Great Stone Face" "The Little Immigrant" "Hawthorne, Nathaniel" "Stern, Eva" 6.23458383243856 2000 2000 197627
"19763.7" "The Great Stone Face" "The Little Immigrant" "Hawthorne, Nathaniel" "Stern, Eva" 6.16001571123344 2000 2000 197628
"19763.8" "The Great Stone Face" "The Little Immigrant" "Hawthorne, Nathaniel" "Stern, Eva" 6.20987140302582 2000 2000 197629
"19763.9" "The Great Stone Face" "The Little Immigrant" "Hawthorne, Nathaniel" "Stern, Eva" 6.14465163265637 2000 2000 197630
"19764" "The Great Stone Face" "A Mixture of Genius" "Hawthorne, Nathaniel" "Castle, Arnold" 6.11249578039229 2000 2000 197631
"19764.1" "The Great Stone Face" "A Mixture of Genius" "Hawthorne, Nathaniel" "Castle, Arnold" 5.78884843419798 2000 2000 197632
"19764.2" "The Great Stone Face" "A Mixture of Genius" "Hawthorne, Nathaniel" "Castle, Arnold" 5.99417134592158 2000 2000 197633
"19764.3" "The Great Stone Face" "A Mixture of Genius" "Hawthorne, Nathaniel" "Castle, Arnold" 5.84551897176593 2000 2000 197634
"19764.4" "The Great Stone Face" "A Mixture of Genius" "Hawthorne, Nathaniel" "Castle, Arnold" 5.88886280814973 2000 2000 197635
"19764.5" "The Great Stone Face" "A Mixture of Genius" "Hawthorne, Nathaniel" "Castle, Arnold" 5.89183542639926 2000 2000 197636
"19764.6" "The Great Stone Face" "A Mixture of Genius" "Hawthorne, Nathaniel" "Castle, Arnold" 5.92841980644664 2000 2000 197637
"19764.7" "The Great Stone Face" "A Mixture of Genius" "Hawthorne, Nathaniel" "Castle, Arnold" 5.88257377689794 2000 2000 197638
"19764.8" "The Great Stone Face" "A Mixture of Genius" "Hawthorne, Nathaniel" "Castle, Arnold" 6.00302278983221 2000 2000 197639
"19764.9" "The Great Stone Face" "A Mixture of Genius" "Hawthorne, Nathaniel" "Castle, Arnold" 5.95653916671971 2000 2000 197640
"19765" "The Great Stone Face" "The Motor Maid" "Hawthorne, Nathaniel" "Williamson, C. N. (Charles Norris)" 6.36080413524627 2000 2000 197641
"19765.1" "The Great Stone Face" "The Motor Maid" "Hawthorne, Nathaniel" "Williamson, C. N. (Charles Norris)" 6.38319529287817 2000 2000 197642
"19765.2" "The Great Stone Face" "The Motor Maid" "Hawthorne, Nathaniel" "Williamson, C. N. (Charles Norris)" 6.35306558056797 2000 2000 197643
"19765.3" "The Great Stone Face" "The Motor Maid" "Hawthorne, Nathaniel" "Williamson, C. N. (Charles Norris)" 6.37759707554943 2000 2000 197644
"19765.4" "The Great Stone Face" "The Motor Maid" "Hawthorne, Nathaniel" "Williamson, C. N. (Charles Norris)" 6.28369976494417 2000 2000 197645
"19765.5" "The Great Stone Face" "The Motor Maid" "Hawthorne, Nathaniel" "Williamson, C. N. (Charles Norris)" 6.27444822450698 2000 2000 197646
"19765.6" "The Great Stone Face" "The Motor Maid" "Hawthorne, Nathaniel" "Williamson, C. N. (Charles Norris)" 6.52232023765517 2000 2000 197647
"19765.7" "The Great Stone Face" "The Motor Maid" "Hawthorne, Nathaniel" "Williamson, C. N. (Charles Norris)" 6.46326488701815 2000 2000 197648
"19765.8" "The Great Stone Face" "The Motor Maid" "Hawthorne, Nathaniel" "Williamson, C. N. (Charles Norris)" 6.18649685119348 2000 2000 197649
"19765.9" "The Great Stone Face" "The Motor Maid" "Hawthorne, Nathaniel" "Williamson, C. N. (Charles Norris)" 6.34911573741292 2000 2000 197650
"19766" "The Great Stone Face" "Around the World with Josiah Allen" "Hawthorne, Nathaniel" "Holley, Marietta" 6.30874574446744 2000 2000 197651
"19766.1" "The Great Stone Face" "Around the World with Josiah Allen" "Hawthorne, Nathaniel" "Holley, Marietta" 6.43552633252141 2000 2000 197652
"19766.2" "The Great Stone Face" "Around the World with Josiah Allen" "Hawthorne, Nathaniel" "Holley, Marietta" 6.24906432884591 2000 2000 197653
"19766.3" "The Great Stone Face" "Around the World with Josiah Allen" "Hawthorne, Nathaniel" "Holley, Marietta" 6.24320071918899 2000 2000 197654
"19766.4" "The Great Stone Face" "Around the World with Josiah Allen" "Hawthorne, Nathaniel" "Holley, Marietta" 6.43193993643213 2000 2000 197655
"19766.5" "The Great Stone Face" "Around the World with Josiah Allen" "Hawthorne, Nathaniel" "Holley, Marietta" 6.36512125908123 2000 2000 197656
"19766.6" "The Great Stone Face" "Around the World with Josiah Allen" "Hawthorne, Nathaniel" "Holley, Marietta" 6.2820393982394 2000 2000 197657
"19766.7" "The Great Stone Face" "Around the World with Josiah Allen" "Hawthorne, Nathaniel" "Holley, Marietta" 6.33810298688821 2000 2000 197658
"19766.8" "The Great Stone Face" "Around the World with Josiah Allen" "Hawthorne, Nathaniel" "Holley, Marietta" 6.42769135743504 2000 2000 197659
"19766.9" "The Great Stone Face" "Around the World with Josiah Allen" "Hawthorne, Nathaniel" "Holley, Marietta" 6.46410268616405 2000 2000 197660
"19767" "The Great Stone Face" "The Man on the Box" "Hawthorne, Nathaniel" "MacGrath, Harold" 6.24456635394348 2000 2000 197661
