"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"17179.4" "The Tiger Lily" "The Mysterious Stranger" "Fenn, George Manville" "Twain, Mark" 6.06499386910078 2000 2000 171785
"17179.5" "The Tiger Lily" "The Mysterious Stranger" "Fenn, George Manville" "Twain, Mark" 6.27520206059922 2000 2000 171786
"17179.6" "The Tiger Lily" "The Mysterious Stranger" "Fenn, George Manville" "Twain, Mark" 6.2239139636269 2000 2000 171787
"17179.7" "The Tiger Lily" "The Mysterious Stranger" "Fenn, George Manville" "Twain, Mark" 6.16015482835854 2000 2000 171788
"17179.8" "The Tiger Lily" "The Mysterious Stranger" "Fenn, George Manville" "Twain, Mark" 6.3158151764645 2000 2000 171789
"17179.9" "The Tiger Lily" "The Mysterious Stranger" "Fenn, George Manville" "Twain, Mark" 6.17108902426772 2000 2000 171790
"17180" "The Tiger Lily" "Mollie" "Fenn, George Manville" "Carey, Rosa Nouchette" 6.51138217614266 2000 2000 171791
"17180.1" "The Tiger Lily" "Mollie" "Fenn, George Manville" "Carey, Rosa Nouchette" 6.5116647258894 2000 2000 171792
"17180.2" "The Tiger Lily" "Mollie" "Fenn, George Manville" "Carey, Rosa Nouchette" 6.5619061123134 2000 2000 171793
"17180.3" "The Tiger Lily" "Mollie" "Fenn, George Manville" "Carey, Rosa Nouchette" 6.45577396318286 2000 2000 171794
"17180.4" "The Tiger Lily" "Mollie" "Fenn, George Manville" "Carey, Rosa Nouchette" 6.411642233071 2000 2000 171795
"17180.5" "The Tiger Lily" "Mollie" "Fenn, George Manville" "Carey, Rosa Nouchette" 6.47798194147504 2000 2000 171796
"17180.6" "The Tiger Lily" "Mollie" "Fenn, George Manville" "Carey, Rosa Nouchette" 6.5156455418015 2000 2000 171797
"17180.7" "The Tiger Lily" "Mollie" "Fenn, George Manville" "Carey, Rosa Nouchette" 6.50792536041656 2000 2000 171798
