"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"22804.3" "Odd Man Out" "Rich Enough" "Jacobs, W. W. (William Wymark)" "Lee, Hannah Farnham Sawyer" 5.60203207025556 2000 2000 228034
"22804.4" "Odd Man Out" "Rich Enough" "Jacobs, W. W. (William Wymark)" "Lee, Hannah Farnham Sawyer" 5.54482197697987 2000 2000 228035
"22804.5" "Odd Man Out" "Rich Enough" "Jacobs, W. W. (William Wymark)" "Lee, Hannah Farnham Sawyer" 5.84347988595613 2000 2000 228036
"22804.6" "Odd Man Out" "Rich Enough" "Jacobs, W. W. (William Wymark)" "Lee, Hannah Farnham Sawyer" 5.80263436405019 2000 2000 228037
"22804.7" "Odd Man Out" "Rich Enough" "Jacobs, W. W. (William Wymark)" "Lee, Hannah Farnham Sawyer" 5.57060431392242 2000 2000 228038
"22804.8" "Odd Man Out" "Rich Enough" "Jacobs, W. W. (William Wymark)" "Lee, Hannah Farnham Sawyer" 5.73012974798005 2000 2000 228039
"22804.9" "Odd Man Out" "Rich Enough" "Jacobs, W. W. (William Wymark)" "Lee, Hannah Farnham Sawyer" 5.80647557512935 2000 2000 228040
"22805" "Odd Man Out" "The Maroon" "Jacobs, W. W. (William Wymark)" "Reid, Mayne" 5.64547878806995 2000 2000 228041
"22805.1" "Odd Man Out" "The Maroon" "Jacobs, W. W. (William Wymark)" "Reid, Mayne" 5.76195284537167 2000 2000 228042
"22805.2" "Odd Man Out" "The Maroon" "Jacobs, W. W. (William Wymark)" "Reid, Mayne" 5.61577652688123 2000 2000 228043
"22805.3" "Odd Man Out" "The Maroon" "Jacobs, W. W. (William Wymark)" "Reid, Mayne" 5.65340595324068 2000 2000 228044
"22805.4" "Odd Man Out" "The Maroon" "Jacobs, W. W. (William Wymark)" "Reid, Mayne" 5.72713213673541 2000 2000 228045
"22805.5" "Odd Man Out" "The Maroon" "Jacobs, W. W. (William Wymark)" "Reid, Mayne" 5.55872758896418 2000 2000 228046
