"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"29887" "The Daisy Chain" "Adventures of a Sixpence in Guernsey by A Native" "Yonge, Charlotte M. (Charlotte Mary)" "Anonymous" 6.28346217195609 2000 2000 298861
"29892.3" "The Daisy Chain" "Louisiana" "Yonge, Charlotte M. (Charlotte Mary)" "Burnett, Frances Hodgson" 6.50662564257582 2000 2000 298914
"29892.4" "The Daisy Chain" "Louisiana" "Yonge, Charlotte M. (Charlotte Mary)" "Burnett, Frances Hodgson" 6.39793020838754 2000 2000 298915
"29892.5" "The Daisy Chain" "Louisiana" "Yonge, Charlotte M. (Charlotte Mary)" "Burnett, Frances Hodgson" 6.39034221001603 2000 2000 298916
"29892.6" "The Daisy Chain" "Louisiana" "Yonge, Charlotte M. (Charlotte Mary)" "Burnett, Frances Hodgson" 6.07452446539629 2000 2000 298917
"29892.7" "The Daisy Chain" "Louisiana" "Yonge, Charlotte M. (Charlotte Mary)" "Burnett, Frances Hodgson" 6.22240322621827 2000 2000 298918
"29892.8" "The Daisy Chain" "Louisiana" "Yonge, Charlotte M. (Charlotte Mary)" "Burnett, Frances Hodgson" 6.21670463497219 2000 2000 298919
"29892.9" "The Daisy Chain" "Louisiana" "Yonge, Charlotte M. (Charlotte Mary)" "Burnett, Frances Hodgson" 6.3128554258771 2000 2000 298920
"29893" "The Daisy Chain" "One Of Them" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.44250141850952 2000 2000 298921
"29893.1" "The Daisy Chain" "One Of Them" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.34033372807113 2000 2000 298922
"29893.2" "The Daisy Chain" "One Of Them" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.36521220648531 2000 2000 298923
"29893.3" "The Daisy Chain" "One Of Them" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.3185758218664 2000 2000 298924
"29893.4" "The Daisy Chain" "One Of Them" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.48058461005632 2000 2000 298925
"29893.5" "The Daisy Chain" "One Of Them" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.41990454177425 2000 2000 298926
"29893.6" "The Daisy Chain" "One Of Them" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.5861764162583 2000 2000 298927
"29893.7" "The Daisy Chain" "One Of Them" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.52659465411856 2000 2000 298928
"29893.8" "The Daisy Chain" "One Of Them" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.48272075081191 2000 2000 298929
"29893.9" "The Daisy Chain" "One Of Them" "Yonge, Charlotte M. (Charlotte Mary)" "Lever, Charles James" 6.28522812894174 2000 2000 298930
"29894" "The Daisy Chain" "Nancy Stair" "Yonge, Charlotte M. (Charlotte Mary)" "Lane, Elinor Macartney" 6.40971754048578 2000 2000 298931
"29894.1" "The Daisy Chain" "Nancy Stair" "Yonge, Charlotte M. (Charlotte Mary)" "Lane, Elinor Macartney" 6.31685128228924 2000 2000 298932
"29894.2" "The Daisy Chain" "Nancy Stair" "Yonge, Charlotte M. (Charlotte Mary)" "Lane, Elinor Macartney" 6.1601771791374 2000 2000 298933
"29894.3" "The Daisy Chain" "Nancy Stair" "Yonge, Charlotte M. (Charlotte Mary)" "Lane, Elinor Macartney" 6.25763767253843 2000 2000 298934
"29894.4" "The Daisy Chain" "Nancy Stair" "Yonge, Charlotte M. (Charlotte Mary)" "Lane, Elinor Macartney" 6.24296613369884 2000 2000 298935
"29894.5" "The Daisy Chain" "Nancy Stair" "Yonge, Charlotte M. (Charlotte Mary)" "Lane, Elinor Macartney" 6.04999531043173 2000 2000 298936
"29894.6" "The Daisy Chain" "Nancy Stair" "Yonge, Charlotte M. (Charlotte Mary)" "Lane, Elinor Macartney" 6.42995693042723 2000 2000 298937
"29894.7" "The Daisy Chain" "Nancy Stair" "Yonge, Charlotte M. (Charlotte Mary)" "Lane, Elinor Macartney" 6.30422846967518 2000 2000 298938
"29894.8" "The Daisy Chain" "Nancy Stair" "Yonge, Charlotte M. (Charlotte Mary)" "Lane, Elinor Macartney" 6.47555723795187 2000 2000 298939
"29894.9" "The Daisy Chain" "Nancy Stair" "Yonge, Charlotte M. (Charlotte Mary)" "Lane, Elinor Macartney" 6.00835137312158 2000 2000 298940
"29895" "The Daisy Chain" "Glengarry School Days" "Yonge, Charlotte M. (Charlotte Mary)" "Connor, Ralph" 6.14766048225248 2000 2000 298941
"29895.1" "The Daisy Chain" "Glengarry School Days" "Yonge, Charlotte M. (Charlotte Mary)" "Connor, Ralph" 6.24898223066828 2000 2000 298942
"29895.2" "The Daisy Chain" "Glengarry School Days" "Yonge, Charlotte M. (Charlotte Mary)" "Connor, Ralph" 6.09042719120147 2000 2000 298943
"29895.3" "The Daisy Chain" "Glengarry School Days" "Yonge, Charlotte M. (Charlotte Mary)" "Connor, Ralph" 6.15820703045495 2000 2000 298944
"29895.4" "The Daisy Chain" "Glengarry School Days" "Yonge, Charlotte M. (Charlotte Mary)" "Connor, Ralph" 6.38836079883029 2000 2000 298945
"29895.5" "The Daisy Chain" "Glengarry School Days" "Yonge, Charlotte M. (Charlotte Mary)" "Connor, Ralph" 6.1584436162749 2000 2000 298946
"29895.6" "The Daisy Chain" "Glengarry School Days" "Yonge, Charlotte M. (Charlotte Mary)" "Connor, Ralph" 5.95126676437467 2000 2000 298947
"29895.7" "The Daisy Chain" "Glengarry School Days" "Yonge, Charlotte M. (Charlotte Mary)" "Connor, Ralph" 6.23995572549785 2000 2000 298948
"29895.8" "The Daisy Chain" "Glengarry School Days" "Yonge, Charlotte M. (Charlotte Mary)" "Connor, Ralph" 6.32651322071851 2000 2000 298949
"29895.9" "The Daisy Chain" "Glengarry School Days" "Yonge, Charlotte M. (Charlotte Mary)" "Connor, Ralph" 6.07743973207901 2000 2000 298950
"29896" "The Daisy Chain" "Ancient Manners" "Yonge, Charlotte M. (Charlotte Mary)" "Louÿs, Pierre" 6.10503059317236 2000 2000 298951
"29896.1" "The Daisy Chain" "Ancient Manners" "Yonge, Charlotte M. (Charlotte Mary)" "Louÿs, Pierre" 6.03282091624536 2000 2000 298952
"29896.2" "The Daisy Chain" "Ancient Manners" "Yonge, Charlotte M. (Charlotte Mary)" "Louÿs, Pierre" 6.01904516761253 2000 2000 298953
"29896.3" "The Daisy Chain" "Ancient Manners" "Yonge, Charlotte M. (Charlotte Mary)" "Louÿs, Pierre" 5.68795731968012 2000 2000 298954
"29896.4" "The Daisy Chain" "Ancient Manners" "Yonge, Charlotte M. (Charlotte Mary)" "Louÿs, Pierre" 6.04945176344978 2000 2000 298955
"29896.5" "The Daisy Chain" "Ancient Manners" "Yonge, Charlotte M. (Charlotte Mary)" "Louÿs, Pierre" 6.02290527271223 2000 2000 298956
"29896.6" "The Daisy Chain" "Ancient Manners" "Yonge, Charlotte M. (Charlotte Mary)" "Louÿs, Pierre" 5.90732582096798 2000 2000 298957
"29896.7" "The Daisy Chain" "Ancient Manners" "Yonge, Charlotte M. (Charlotte Mary)" "Louÿs, Pierre" 5.99362054838256 2000 2000 298958
"29896.8" "The Daisy Chain" "Ancient Manners" "Yonge, Charlotte M. (Charlotte Mary)" "Louÿs, Pierre" 6.02191521108103 2000 2000 298959
"29896.9" "The Daisy Chain" "Ancient Manners" "Yonge, Charlotte M. (Charlotte Mary)" "Louÿs, Pierre" 5.70681273243453 2000 2000 298960
"29897" "The Daisy Chain" "The Man That Corrupted Hadleyburg" "Yonge, Charlotte M. (Charlotte Mary)" "Twain, Mark" 6.29886954574563 2000 2000 298961
"29897.1" "The Daisy Chain" "The Man That Corrupted Hadleyburg" "Yonge, Charlotte M. (Charlotte Mary)" "Twain, Mark" 6.21564686330463 2000 2000 298962
"29897.2" "The Daisy Chain" "The Man That Corrupted Hadleyburg" "Yonge, Charlotte M. (Charlotte Mary)" "Twain, Mark" 6.4193100383478 2000 2000 298963
"29897.3" "The Daisy Chain" "The Man That Corrupted Hadleyburg" "Yonge, Charlotte M. (Charlotte Mary)" "Twain, Mark" 6.25892348820214 2000 2000 298964
"29897.4" "The Daisy Chain" "The Man That Corrupted Hadleyburg" "Yonge, Charlotte M. (Charlotte Mary)" "Twain, Mark" 6.33457828320466 2000 2000 298965
"29897.5" "The Daisy Chain" "The Man That Corrupted Hadleyburg" "Yonge, Charlotte M. (Charlotte Mary)" "Twain, Mark" 6.42696644886944 2000 2000 298966
"29897.6" "The Daisy Chain" "The Man That Corrupted Hadleyburg" "Yonge, Charlotte M. (Charlotte Mary)" "Twain, Mark" 6.27151047176499 2000 2000 298967
"29897.7" "The Daisy Chain" "The Man That Corrupted Hadleyburg" "Yonge, Charlotte M. (Charlotte Mary)" "Twain, Mark" 6.29402647542786 2000 2000 298968
"29897.8" "The Daisy Chain" "The Man That Corrupted Hadleyburg" "Yonge, Charlotte M. (Charlotte Mary)" "Twain, Mark" 6.20653006913177 2000 2000 298969
"29897.9" "The Daisy Chain" "The Man That Corrupted Hadleyburg" "Yonge, Charlotte M. (Charlotte Mary)" "Twain, Mark" 6.14716567899034 2000 2000 298970
"29898" "The Daisy Chain" "Bound to Rise" "Yonge, Charlotte M. (Charlotte Mary)" "Alger, Horatio, Jr." 6.49390306683928 2000 2000 298971
"29898.1" "The Daisy Chain" "Bound to Rise" "Yonge, Charlotte M. (Charlotte Mary)" "Alger, Horatio, Jr." 6.38073128270555 2000 2000 298972
"29898.2" "The Daisy Chain" "Bound to Rise" "Yonge, Charlotte M. (Charlotte Mary)" "Alger, Horatio, Jr." 6.36737323799816 2000 2000 298973
"29898.3" "The Daisy Chain" "Bound to Rise" "Yonge, Charlotte M. (Charlotte Mary)" "Alger, Horatio, Jr." 6.32686718304578 2000 2000 298974
"29898.4" "The Daisy Chain" "Bound to Rise" "Yonge, Charlotte M. (Charlotte Mary)" "Alger, Horatio, Jr." 6.44347259594146 2000 2000 298975
"29898.5" "The Daisy Chain" "Bound to Rise" "Yonge, Charlotte M. (Charlotte Mary)" "Alger, Horatio, Jr." 6.38609517006631 2000 2000 298976
"29898.6" "The Daisy Chain" "Bound to Rise" "Yonge, Charlotte M. (Charlotte Mary)" "Alger, Horatio, Jr." 6.43991698584079 2000 2000 298977
"29898.7" "The Daisy Chain" "Bound to Rise" "Yonge, Charlotte M. (Charlotte Mary)" "Alger, Horatio, Jr." 6.24142194030454 2000 2000 298978
"29898.8" "The Daisy Chain" "Bound to Rise" "Yonge, Charlotte M. (Charlotte Mary)" "Alger, Horatio, Jr." 6.49862182130791 2000 2000 298979
"29898.9" "The Daisy Chain" "Bound to Rise" "Yonge, Charlotte M. (Charlotte Mary)" "Alger, Horatio, Jr." 6.46373100494461 2000 2000 298980
"29899" "The Long Vacation" "The Return of the Soldier" "Yonge, Charlotte M. (Charlotte Mary)" "West, Rebecca" 6.16806533459479 2000 2000 298981
"29899.1" "The Long Vacation" "The Return of the Soldier" "Yonge, Charlotte M. (Charlotte Mary)" "West, Rebecca" 5.99430617067776 2000 2000 298982
